group_prob,misclass_prob,pop_size,pval_mean,pval_median,pval_std,pval_min,pval_max,time_cost
"(0.60000000000000009, 0.39999999999999991)",0.15,100,2274.00249029,2222.92776247,172.478532584,2606.00022283,2103.37503375,0.0688581466675
"(0.60000000000000009, 0.39999999999999991)",0.15,1000,222857.974009,220696.671368,9607.94832994,241320.124663,209812.085861,0.436651945114
"(0.60000000000000009, 0.39999999999999991)",0.15,10000,22013465.1782,22039291.7781,103519.95949,22147115.5468,21733413.8278,4.16294288635
"(0.60000000000000009, 0.39999999999999991)",0.15,100000,2200827005.54,2200773263.92,5563142.37552,2210055022.6,2192164557.35,41.7129981518
"(0.60000000000000009, 0.39999999999999991)",0.15,1000000,2.20193293204e+11,2.20230971826e+11,213156567.887,2.20479724217e+11,2.19724279827e+11,416.507062912
"(0.60000000000000009, 0.39999999999999991)",0.2,100,2114.78559256,2116.58829023,103.938457132,2359.60919293,1942.19009503,0.0680251121521
"(0.60000000000000009, 0.39999999999999991)",0.2,1000,207025.656331,207332.95658,2891.22013783,210232.18593,201642.458129,0.437980890274
"(0.60000000000000009, 0.39999999999999991)",0.2,10000,21064740.0963,21045785.2844,115723.640944,21331032.4162,20915072.3234,4.24006891251
"(0.60000000000000009, 0.39999999999999991)",0.2,100000,2106365718.56,2106029579.9,4159828.33321,2115087414.55,2101601353.65,42.334403038
"(0.60000000000000009, 0.39999999999999991)",0.2,1000000,2.10531076957e+11,2.10519311607e+11,178505315.542,2.10872087054e+11,2.10221494712e+11,425.101410866
"(0.60000000000000009, 0.39999999999999991)",0.25,100,2067.10782738,2016.23778426,170.613465873,2371.4989063,1874.20780787,0.0697250366211
"(0.60000000000000009, 0.39999999999999991)",0.25,1000,201183.322148,199941.257888,4103.52312015,212275.383593,197694.421411,0.445835113525
"(0.60000000000000009, 0.39999999999999991)",0.25,10000,20137825.0166,20080122.8336,187777.9768,20461576.9764,19921551.2103,4.33751797676
"(0.60000000000000009, 0.39999999999999991)",0.25,100000,2014809681.23,2015021560.51,3594347.65596,2020103474.41,2007934467.32,43.023788929
"(0.60000000000000009, 0.39999999999999991)",0.25,1000000,2.01548187407e+11,2.01614117567e+11,184558439.312,2.01744848538e+11,2.01198419619e+11,426.488866091
"(0.60000000000000009, 0.39999999999999991)",0.3,100,2044.01882686,1989.24260046,168.78231801,2392.09510276,1876.29259801,0.0691139698029
"(0.60000000000000009, 0.39999999999999991)",0.3,1000,193485.161177,193072.337498,2599.52207324,197952.945649,190098.402438,0.452649831772
"(0.60000000000000009, 0.39999999999999991)",0.3,10000,19352551.8342,19381618.5134,130184.340687,19570649.7994,19093507.8283,4.33013820648
"(0.60000000000000009, 0.39999999999999991)",0.3,100000,1927662884.2,1929877272.0,5997053.8611,1935545108.63,1916269061.96,44.7121469975
"(0.60000000000000009, 0.39999999999999991)",0.3,1000000,1.92808391607e+11,1.92774919051e+11,152989702.496,1.93077306604e+11,1.92598509153e+11,435.589097977
"(0.60000000000000009, 0.39999999999999991)",0.35,100,1857.19672963,1838.52046877,89.8717177322,2045.03432905,1762.67522476,0.0704200267792
"(0.60000000000000009, 0.39999999999999991)",0.35,1000,184188.1137,183897.912656,2920.91233984,189580.301403,178348.30068,0.454658985138
"(0.60000000000000009, 0.39999999999999991)",0.35,10000,18417104.2857,18441751.8802,89910.8482073,18545624.381,18233165.486,4.39935207367
"(0.60000000000000009, 0.39999999999999991)",0.35,100000,1846577443.07,1847906279.57,5081352.89355,1852823837.92,1836928891.84,44.4049990177
"(0.60000000000000009, 0.39999999999999991)",0.35,1000000,1.84500685641e+11,1.84548303686e+11,135508775.536,1.84663216391e+11,1.8424355817e+11,435.631386042
"(0.60000000000000009, 0.39999999999999991)",0.4,100,1878.59138792,1814.62534997,174.437576362,2369.24040092,1746.70196286,0.0749809741974
