group_prob,misclass_prob,pop_size,pval_mean,pval_median,pval_std,pval_min,pval_max,time_cost
"(0.55000000000000004, 0.44999999999999996)",0.05,10000,8751.26917978,8753.03873326,6.81969303316,8760.31346189,8739.81928518,4.1479010582
"(0.55000000000000004, 0.44999999999999996)",0.05,100000,87478.3101408,87471.8790553,29.9355384483,87529.4876286,87416.2141832,41.2674279213
"(0.55000000000000004, 0.44999999999999996)",0.05,1000000,875058.31942,875038.912672,125.502686574,875295.201946,874866.25342,415.066728115
"(0.55000000000000004, 0.44999999999999996)",0.1,100,85.4622869883,85.3665902081,1.02266286517,87.1600997655,83.9901531177,0.0676529407501
"(0.55000000000000004, 0.44999999999999996)",0.1,1000,850.948163215,852.400141422,5.26661844869,856.096283203,837.508161169,0.435136079788
"(0.55000000000000004, 0.44999999999999996)",0.1,10000,8489.16590225,8486.90659176,20.8217319944,8516.59620794,8450.85403652,4.19353890419
"(0.55000000000000004, 0.44999999999999996)",0.1,100000,84976.8283877,84980.4577822,58.0121500088,85079.4253508,84881.2813909,41.7591290474
"(0.55000000000000004, 0.44999999999999996)",0.1,1000000,850075.707675,850133.61001,147.01166092,850284.591123,849801.120149,421.231670856
"(0.55000000000000004, 0.44999999999999996)",0.15,100,82.5718076576,82.8896281411,2.49054218729,86.7657405246,78.2481457118,0.0686020851135
"(0.55000000000000004, 0.44999999999999996)",0.15,1000,824.249273866,823.329656559,3.52446610741,829.710760443,818.663667579,0.443675994873
"(0.55000000000000004, 0.44999999999999996)",0.15,10000,8254.19434025,8256.15632065,19.2087314291,8286.83024043,8221.80391297,4.26496601105
"(0.55000000000000004, 0.44999999999999996)",0.15,100000,82487.2483718,82496.5885439,45.2675026345,82547.8505141,82412.7996824,42.5998370647
"(0.55000000000000004, 0.44999999999999996)",0.15,1000000,824940.826198,824935.910234,192.749838682,825236.669851,824692.405149,424.942348003
"(0.55000000000000004, 0.44999999999999996)",0.2,100,80.4912497386,81.5919434694,2.92423369207,84.1032208557,75.3281865688,0.0690429210663
"(0.55000000000000004, 0.44999999999999996)",0.2,1000,800.016523879,798.999939665,6.07499508345,814.147490027,793.661786901,0.445367097855
"(0.55000000000000004, 0.44999999999999996)",0.2,10000,8008.01783614,8013.92718057,30.2581971007,8049.31161604,7948.89406811,4.29448103905
"(0.55000000000000004, 0.44999999999999996)",0.2,100000,80007.4728587,80016.5673266,41.7237476019,80073.0574602,79928.7678343,42.9507169724
"(0.55000000000000004, 0.44999999999999996)",0.2,1000000,799901.338829,799925.903549,237.849573039,800274.507913,799486.784833,431.606782913
"(0.55000000000000004, 0.44999999999999996)",0.25,100,78.0259889603,79.2640768852,2.74439169378,81.0790104548,71.4550249108,0.0717248916626
"(0.55000000000000004, 0.44999999999999996)",0.25,1000,776.481737632,779.786842863,9.58063531211,787.811370484,757.086145011,0.454788923264
"(0.55000000000000004, 0.44999999999999996)",0.25,10000,7736.62047461,7734.63385266,27.2774890736,7782.65764748,7694.82908458,4.3989470005
"(0.55000000000000004, 0.44999999999999996)",0.25,100000,77473.6121553,77456.7931701,73.781515315,77642.9941506,77384.3106791,43.4403460026
"(0.55000000000000004, 0.44999999999999996)",0.25,1000000,774944.589138,774995.071383,175.253751992,775284.429156,774612.356436,435.550580978
"(0.55000000000000004, 0.44999999999999996)",0.3,100,74.4381944197,74.5163223075,2.39776927906,77.2158053111,69.222474663,0.0701410770416
"(0.55000000000000004, 0.44999999999999996)",0.3,1000,754.694192616,754.685675126,8.05626272504,766.234257751,740.961563193,0.456522941589
"(0.55000000000000004, 0.44999999999999996)",0.3,10000,7496.94107869,7501.46210915,19.7627119878,7527.21796652,7467.53486988,4.42764902115
"(0.55000000000000004, 0.44999999999999996)",0.3,100000,75009.9938109,75020.9875469,65.2260446518,75087.1707791,74838.7056102,44.0512747765
"(0.55000000000000004, 0.44999999999999996)",0.3,1000000,750044.343545,750096.249637,228.879871373,750363.090002,749614.517041,441.013481855
"(0.55000000000000004, 0.44999999999999996)",0.35,100,72.6855854351,71.8510148338,2.18536546309,77.9712161753,70.6660858292,0.0761241912842
"(0.55000000000000004, 0.44999999999999996)",0.35,1000,720.84919434,721.082516487,8.45125357611,731.69341706,702.465626535,0.469053030014
"(0.55000000000000004, 0.44999999999999996)",0.35,10000,7255.4527917,7254.81256264,24.271162007,7297.46564831,7208.7058221,4.49123692513
"(0.55000000000000004, 0.44999999999999996)",0.35,100000,72504.1421502,72517.8904938,57.73599643,72567.0207224,72403.1161271,44.6579360962
"(0.55000000000000004, 0.44999999999999996)",0.35,1000000,725049.020084,725048.88943,161.125568811,725388.379321,724872.847829,443.332447052
"(0.55000000000000004, 0.44999999999999996)",0.4,100,71.0992665915,72.1085496514,2.47971431254,74.0699807318,67.2568268554,0.0709321498871
"(0.55000000000000004, 0.44999999999999996)",0.4,1000,700.492411842,700.573695692,3.69909090941,706.474547181,693.578177758,0.466817855835
"(0.55000000000000004, 0.44999999999999996)",0.4,10000,6997.12830152,7000.16607594,30.9062011919,7048.85716468,6930.31578865,4.49057602882
"(0.55000000000000004, 0.44999999999999996)",0.4,100000,69966.7159089,69954.7886813,63.1277552865,70068.0248092,69889.384004,44.7261760235
"(0.55000000000000004, 0.44999999999999996)",0.4,1000000,700000.808076,700051.2078,278.44091572,700352.166257,699589.749481,449.157561064
"(0.55000000000000004, 0.44999999999999996)",0.45,100,66.4669919256,66.6331434399,1.90985196488,69.3872873071,62.2226864242,0.071928024292
"(0.55000000000000004, 0.44999999999999996)",0.45,1000,679.28190047,680.558649144,9.21231112429,694.592307014,664.092926403,0.470139980316
"(0.55000000000000004, 0.44999999999999996)",0.45,10000,6753.80685276,6762.57587496,20.7626392101,6775.57902718,6721.48114877,4.54692912102
"(0.55000000000000004, 0.44999999999999996)",0.45,100000,67479.6473705,67518.7427954,125.08988874,67614.0394263,67228.6718927,45.6742861271
"(0.55000000000000004, 0.44999999999999996)",0.45,1000000,674917.042406,674906.609462,297.258283457,675368.390933,674492.644145,453.878192902
"(0.60000000000000009, 0.39999999999999991)",0.0,100,90.143730148,90.103750792,0.588273760487,91.1278436979,89.3700868356,0.0672430992126
"(0.60000000000000009, 0.39999999999999991)",0.0,1000,899.778474058,899.859347005,2.44932802455,904.392642571,896.48348663,0.430985927582
"(0.60000000000000009, 0.39999999999999991)",0.0,10000,8997.01935862,8997.84439029,7.24276975796,9006.64327192,8985.13301659,4.10465407372
"(0.60000000000000009, 0.39999999999999991)",0.0,100000,90010.5183151,90014.5106602,15.3241219272,90028.1343187,89982.542837,41.147685051
"(0.60000000000000009, 0.39999999999999991)",0.0,1000000,899965.774043,899968.474811,22.3657871358,900007.287463,899913.581949,409.901168823
"(0.60000000000000009, 0.39999999999999991)",0.05,100,87.6048735262,87.6935435047,1.30628369005,89.379482313,84.8978974964,0.0673179626465
"(0.60000000000000009, 0.39999999999999991)",0.05,1000,876.674720311,878.232369738,4.31869798601,882.029460157,867.380099531,0.433874130249
"(0.60000000000000009, 0.39999999999999991)",0.05,10000,8746.65122421,8745.0873859,10.5685341375,8765.72467893,8727.54646306,4.18461799622
"(0.60000000000000009, 0.39999999999999991)",0.05,100000,87500.2954377,87509.4495787,36.1062138003,87540.4046657,87424.4036961,41.268435955
"(0.60000000000000009, 0.39999999999999991)",0.05,1000000,874935.459117,874938.455463,110.614167286,875113.638813,874730.699643,414.84066391
"(0.60000000000000009, 0.39999999999999991)",0.1,100,84.368039679,84.9651944542,1.6227771188,86.1517830911,81.4178551779,0.0678532123566
"(0.60000000000000009, 0.39999999999999991)",0.1,1000,850.085325422,847.107639284,6.71622303278,864.35117733,843.434729301,0.434280157089
"(0.60000000000000009, 0.39999999999999991)",0.1,10000,8496.63362527,8495.97506157,17.5591401097,8527.31422808,8475.26335639,4.20615816116
"(0.60000000000000009, 0.39999999999999991)",0.1,100000,84978.4128773,84971.1912782,46.5879753284,85053.1516262,84917.5163789,41.852699995
"(0.60000000000000009, 0.39999999999999991)",0.1,1000000,849950.476644,849919.875658,162.494827531,850198.333354,849728.342103,420.006788969
"(0.60000000000000009, 0.39999999999999991)",0.15,100,81.2370393793,81.1712741901,2.09723171379,85.656541328,77.8714568205,0.0702378749847
"(0.60000000000000009, 0.39999999999999991)",0.15,1000,824.847592049,824.519328777,4.8644529058,832.270865485,818.956124807,0.440320968628
"(0.60000000000000009, 0.39999999999999991)",0.15,10000,8258.03012743,8270.93629708,23.9959703859,8282.27092499,8203.42283711,4.23809981346
"(0.60000000000000009, 0.39999999999999991)",0.15,100000,82486.8354759,82485.4571496,54.6547199591,82587.197933,82376.8806066,42.3728640079
"(0.60000000000000009, 0.39999999999999991)",0.15,1000000,825134.075841,825118.629649,174.622482792,825486.511343,824883.155731,425.156322956
"(0.60000000000000009, 0.39999999999999991)",0.2,100,80.1345327294,80.8024393737,2.5166073504,83.8745398546,74.8695876771,0.0689978599548
"(0.60000000000000009, 0.39999999999999991)",0.2,1000,798.048366221,798.764496065,7.22550000719,807.183361559,788.65041054,0.44727897644
"(0.60000000000000009, 0.39999999999999991)",0.2,10000,7998.7691468,7999.54266204,18.8405219799,8024.74539452,7958.92157536,4.31490302086
"(0.60000000000000009, 0.39999999999999991)",0.2,100000,79987.256168,79970.7267506,58.0371133801,80098.9727448,79909.6355455,42.9100470543
"(0.60000000000000009, 0.39999999999999991)",0.2,1000000,799930.094076,799954.773358,171.268991773,800145.808329,799574.103035,429.907407999
"(0.60000000000000009, 0.39999999999999991)",0.25,100,78.2656947878,78.1645640961,1.76589868972,80.9398464715,75.283443758,0.069981098175
"(0.60000000000000009, 0.39999999999999991)",0.25,1000,773.59977932,772.457676486,9.47249653226,791.803156649,758.258677824,0.450487136841
"(0.60000000000000009, 0.39999999999999991)",0.25,10000,7746.0286016,7745.70483493,18.5214865111,7775.85919334,7717.75121094,4.33516788483
"(0.60000000000000009, 0.39999999999999991)",0.25,100000,77464.8658716,77464.2191808,68.318486383,77537.7858549,77290.4276364,43.3566761017
"(0.60000000000000009, 0.39999999999999991)",0.25,1000000,774799.040752,774803.728939,188.987717109,775111.420859,774498.891037,432.759010077
"(0.60000000000000009, 0.39999999999999991)",0.3,100,74.6223409083,74.3879419086,2.80797814335,79.2833970889,70.8253954018,0.0710089206696
"(0.60000000000000009, 0.39999999999999991)",0.3,1000,747.754821052,746.52743357,8.90922419624,770.205929389,732.88181477,0.458338022232
"(0.60000000000000009, 0.39999999999999991)",0.3,10000,7506.22688042,7499.28119539,24.5288542879,7556.77958984,7476.92239539,4.42128610611
"(0.60000000000000009, 0.39999999999999991)",0.3,100000,75045.6418576,75035.8965271,54.7643789746,75165.3039829,74974.0909374,44.2511279583
"(0.60000000000000009, 0.39999999999999991)",0.3,1000000,750127.411382,750121.33466,258.207050475,750658.32949,749817.027334,438.026715994
"(0.60000000000000009, 0.39999999999999991)",0.35,100,72.2743394402,72.5519533921,3.53803364632,78.5151431941,67.2564938905,0.0708069801331
"(0.60000000000000009, 0.39999999999999991)",0.35,1000,728.311115574,727.469989186,8.52977684882,739.143776747,713.189350733,0.460282087326
"(0.60000000000000009, 0.39999999999999991)",0.35,10000,7241.83223614,7236.13622063,24.5539069178,7296.77923745,7206.37927448,4.44916200638
"(0.60000000000000009, 0.39999999999999991)",0.35,100000,72554.0341759,72558.8264551,87.6034962571,72718.2281716,72393.4293752,44.3262279034
"(0.60000000000000009, 0.39999999999999991)",0.35,1000000,724957.193988,724850.800248,267.265558507,725402.665604,724626.495474,444.196282864
"(0.60000000000000009, 0.39999999999999991)",0.4,100,69.45331511,68.700544004,3.69096761836,76.5082063732,64.7033809106,0.0760900974274
"(0.60000000000000009, 0.39999999999999991)",0.4,1000,694.780374923,696.640598503,9.50928507433,710.63195602,682.109878823,0.471477031708
"(0.60000000000000009, 0.39999999999999991)",0.4,10000,6992.05905056,6991.92605297,34.4861404434,7055.40372086,6927.1122868,4.50062990189
